LapNumber,Position_HAM,Time_HAM,Position_LEC,Time_LEC,Gap_Seconds,HAM_Pos_Diff,LEC_Pos_Diff,Overtake_Occurred
1.0,1.0,0 days 00:58:03.760000,3.0,0 days 00:58:05.376000,-1.616,,,False
2.0,2.0,0 days 00:59:43.321000,3.0,0 days 00:59:43.934000,-0.613,1.0,0.0,False
3.0,2.0,0 days 01:01:21.908000,4.0,0 days 01:01:23.082000,-1.174,0.0,1.0,False
4.0,3.0,0 days 01:03:00.142000,4.0,0 days 01:03:00.917000,-0.775,1.0,0.0,False
5.0,3.0,0 days 01:04:37.778000,4.0,0 days 01:04:38.780000,-1.002,0.0,0.0,False
6.0,3.0,0 days 01:06:15.740000,4.0,0 days 01:06:16.916000,-1.176,0.0,0.0,False
7.0,3.0,0 days 01:07:53.961000,4.0,0 days 01:07:54.910000,-0.949,0.0,0.0,False
8.0,3.0,0 days 01:09:31.890000,4.0,0 days 01:09:32.704000,-0.814,0.0,0.0,False
9.0,3.0,0 days 01:11:10.261000,4.0,0 days 01:11:10.834000,-0.573,0.0,0.0,False
10.0,3.0,0 days 01:13:00.207000,4.0,0 days 01:13:03.231000,-3.024,0.0,0.0,False
11.0,5.0,0 days 01:15:42.546000,7.0,0 days 01:15:45.025000,-2.479,2.0,3.0,False
12.0,5.0,0 days 01:18:12.515000,7.0,0 days 01:18:15.130000,-2.615,0.0,0.0,False
13.0,5.0,0 days 01:20:40.910000,7.0,0 days 01:20:41.616000,-0.706,0.0,0.0,False
14.0,3.0,0 days 01:22:19.876000,6.0,0 days 01:22:21.467000,-1.591,-2.0,-1.0,False
15.0,2.0,0 days 01:23:56.949000,4.0,0 days 01:23:58.672000,-1.723,-1.0,-2.0,False
16.0,2.0,0 days 01:25:33.880000,3.0,0 days 01:25:35.978000,-2.098,0.0,-1.0,False
17.0,2.0,0 days 01:27:10.577000,3.0,0 days 01:27:12.855000,-2.278,0.0,0.0,False
18.0,2.0,0 days 01:28:47.694000,3.0,0 days 01:28:49.454000,-1.76,0.0,0.0,False
19.0,2.0,0 days 01:30:24.797000,3.0,0 days 01:30:26.315000,-1.518,0.0,0.0,False
20.0,2.0,0 days 01:32:01.712000,3.0,0 days 01:32:03.148000,-1.436,0.0,0.0,False
21.0,2.0,0 days 01:33:38.684000,3.0,0 days 01:33:39.853000,-1.169,0.0,0.0,False
22.0,2.0,0 days 01:35:15.690000,3.0,0 days 01:35:16.496000,-0.806,0.0,0.0,False
23.0,2.0,0 days 01:36:52.739000,3.0,0 days 01:36:53.309000,-0.57,0.0,0.0,False
24.0,3.0,0 days 01:38:30.962000,2.0,0 days 01:38:30.586000,0.376,1.0,-1.0,True
25.0,3.0,0 days 01:40:08.855000,2.0,0 days 01:40:08.267000,0.588,0.0,0.0,False
26.0,2.0,0 days 01:41:45.594000,3.0,0 days 01:41:45.841000,-0.247,-1.0,1.0,True
27.0,4.0,0 days 01:43:24.826000,2.0,0 days 01:43:23.713000,1.113,2.0,-1.0,True
28.0,4.0,0 days 01:45:02.044000,2.0,0 days 01:45:00.789000,1.255,0.0,0.0,False
29.0,4.0,0 days 01:46:38.815000,3.0,0 days 01:46:37.896000,0.919,0.0,1.0,False
30.0,4.0,0 days 01:48:15.500000,3.0,0 days 01:48:14.693000,0.807,0.0,0.0,False
31.0,4.0,0 days 01:49:51.996000,3.0,0 days 01:49:51.102000,0.894,0.0,0.0,False
32.0,4.0,0 days 01:51:28.625000,3.0,0 days 01:51:27.726000,0.899,0.0,0.0,False
33.0,4.0,0 days 01:53:05.121000,3.0,0 days 01:53:04.276000,0.845,0.0,0.0,False
34.0,4.0,0 days 01:54:41.873000,3.0,0 days 01:54:41.005000,0.868,0.0,0.0,False
35.0,3.0,0 days 01:56:19.210000,4.0,0 days 01:56:19.516000,-0.306,-1.0,1.0,True
36.0,3.0,0 days 01:57:56.211000,4.0,0 days 01:57:56.763000,-0.552,0.0,0.0,False
37.0,3.0,0 days 01:59:32.860000,4.0,0 days 01:59:33.530000,-0.67,0.0,0.0,False
38.0,3.0,0 days 02:01:09.736000,4.0,0 days 02:01:10.289000,-0.553,0.0,0.0,False
39.0,4.0,0 days 02:02:47.828000,3.0,0 days 02:02:47.282000,0.546,1.0,-1.0,True
40.0,3.0,0 days 02:04:24.780000,4.0,0 days 02:04:25.538000,-0.758,-1.0,1.0,True
41.0,3.0,0 days 02:06:01.251000,4.0,0 days 02:06:02.378000,-1.127,0.0,0.0,False
42.0,3.0,0 days 02:07:37.767000,4.0,0 days 02:07:39.173000,-1.406,0.0,0.0,False
43.0,3.0,0 days 02:09:13.985000,4.0,0 days 02:09:15.757000,-1.772,0.0,0.0,False
44.0,3.0,0 days 02:10:50.225000,4.0,0 days 02:10:52.406000,-2.181,0.0,0.0,False
45.0,3.0,0 days 02:12:26.621000,4.0,0 days 02:12:29.630000,-3.009,0.0,0.0,False
46.0,3.0,0 days 02:14:02.930000,4.0,0 days 02:14:05.901000,-2.971,0.0,0.0,False
47.0,3.0,0 days 02:15:39.134000,4.0,0 days 02:15:42.105000,-2.971,0.0,0.0,False
48.0,3.0,0 days 02:17:15.285000,4.0,0 days 02:17:18.333000,-3.048,0.0,0.0,False
49.0,3.0,0 days 02:18:51.670000,4.0,0 days 02:18:54.664000,-2.994,0.0,0.0,False
50.0,3.0,0 days 02:20:27.907000,4.0,0 days 02:20:31.051000,-3.144,0.0,0.0,False
51.0,3.0,0 days 02:22:04.041000,4.0,0 days 02:22:07.795000,-3.754,0.0,0.0,False
52.0,3.0,0 days 02:23:40.337000,4.0,0 days 02:23:44.119000,-3.782,0.0,0.0,False
53.0,3.0,0 days 02:25:16.536000,4.0,0 days 02:25:20.439000,-3.903,0.0,0.0,False
54.0,3.0,0 days 02:26:52.976000,4.0,0 days 02:26:56.652000,-3.676,0.0,0.0,False
55.0,3.0,0 days 02:28:29.068000,4.0,0 days 02:28:32.786000,-3.718,0.0,0.0,False
