Driver,Sector1Time,Sector2Time,Sector3Time,LapTime,S1_Rank,S2_Rank,S3_Rank,Is_Antonelli
ALB,24.526,28.694,41.37,94.772,16.0,18.0,18.0,
ALO,24.782,28.723,41.698,95.203,19.0,19.0,21.0,
ANT,24.003,27.664,40.387,92.064,2.0,2.0,1.0,Yes
BEA,24.348,27.847,40.931,93.197,12.0,8.0,14.0,
BOR,24.539,28.214,40.796,93.549,17.0,15.0,10.0,
BOT,24.949,28.972,41.515,95.436,20.0,20.0,19.0,
COL,24.254,28.078,40.947,93.357,8.0,13.0,15.0,
GAS,24.099,27.788,40.9,92.873,6.0,7.0,11.0,
HAD,24.465,27.933,40.659,93.121,13.0,9.0,7.0,
HAM,24.08,27.696,40.535,92.415,5.0,3.0,4.0,
HUL,24.558,27.937,40.743,93.354,18.0,10.0,8.0,
LAW,24.339,28.117,40.911,93.765,11.0,14.0,13.0,
LEC,24.022,27.66,40.65,92.428,4.0,1.0,6.0,
LIN,24.492,28.254,40.903,93.784,15.0,16.0,12.0,
NOR,23.995,27.747,40.748,92.608,1.0,5.0,9.0,
OCO,24.335,28.041,41.028,93.538,10.0,12.0,16.0,
PER,25.703,29.246,41.611,96.906,22.0,22.0,20.0,
PIA,24.12,27.729,40.493,92.55,7.0,4.0,3.0,
RUS,24.012,27.783,40.491,92.286,3.0,6.0,2.0,
SAI,24.465,28.669,41.183,94.317,13.0,17.0,17.0,
STR,24.953,29.144,41.838,95.995,21.0,21.0,22.0,
VER,24.28,27.975,40.613,93.002,9.0,11.0,5.0,
